timestamp,process,pid,cpu_pct,rss_mb
1787122362,conversation,1318,0.0,773.6
1787122362,conversation,13782,0.0,1579.6
1787122362,freeswitch,27385,2.0,25.0
1787122362,kamailio,96972,0.0,13.7
1787122362,kamailio,96974,0.0,3.7
1787122362,kamailio,96975,0.0,1.4
1787122362,kamailio,96976,0.0,0.7
1787122362,kamailio,96977,0.0,0.3
1787122362,kamailio,96978,0.0,0.3
1787122362,kamailio,96979,0.0,0.8
1787122362,kamailio,96980,0.0,0.4
1787122362,gateway,97174,4.5,25.8
1787122365,conversation,1318,0.1,773.6
1787122365,conversation,13782,0.1,1579.6
1787122365,freeswitch,27385,1.7,25.0
1787122365,kamailio,96972,0.0,13.7
1787122365,kamailio,96974,0.0,3.7
1787122365,kamailio,96975,0.0,1.4
1787122365,kamailio,96976,0.0,0.7
1787122365,kamailio,96977,0.0,0.3
1787122365,kamailio,96978,0.0,0.3
1787122365,kamailio,96979,0.0,0.8
1787122365,kamailio,96980,0.0,0.4
1787122365,gateway,97174,7.1,25.8
1787122367,conversation,1318,0.0,773.6
1787122367,conversation,13782,0.0,1579.6
1787122367,freeswitch,27385,1.8,25.0
1787122367,kamailio,96972,0.0,13.7
1787122367,kamailio,96974,0.0,3.7
1787122367,kamailio,96975,0.0,1.4
1787122367,kamailio,96976,0.0,0.7
1787122367,kamailio,96977,0.0,0.3
1787122367,kamailio,96978,0.0,0.3
1787122367,kamailio,96979,0.0,0.8
1787122367,kamailio,96980,0.0,0.4
1787122367,gateway,97174,5.1,25.8
1787122369,conversation,1318,0.0,773.6
1787122369,conversation,13782,0.0,1579.6
1787122369,freeswitch,27385,2.3,25.0
1787122369,kamailio,96972,0.0,13.7
1787122369,kamailio,96974,0.0,3.7
1787122369,kamailio,96975,0.0,1.4
1787122369,kamailio,96976,0.0,0.7
1787122369,kamailio,96977,0.0,0.3
1787122369,kamailio,96978,0.0,0.3
1787122369,kamailio,96979,0.0,0.8
1787122369,kamailio,96980,0.0,0.4
1787122369,gateway,97174,4.8,25.8
1787122371,conversation,1318,0.0,773.6
1787122371,conversation,13782,0.0,1579.6
1787122371,freeswitch,27385,2.2,25.0
1787122371,kamailio,96972,0.0,13.7
1787122371,kamailio,96974,0.0,3.7
1787122371,kamailio,96975,0.0,1.4
1787122371,kamailio,96976,0.0,0.7
1787122371,kamailio,96977,0.0,0.3
1787122371,kamailio,96978,0.0,0.3
1787122371,kamailio,96979,0.0,0.8
1787122371,kamailio,96980,0.0,0.4
1787122371,gateway,97174,4.9,25.8
