StartTime;LastResetTime;CurrentTime;ElapsedTime(P);ElapsedTime(C);TargetRate;CallRate(P);CallRate(C);IncomingCall(P);IncomingCall(C);OutgoingCall(P);OutgoingCall(C);TotalCallCreated;CurrentCall;SuccessfulCall(P);SuccessfulCall(C);FailedCall(P);FailedCall(C);FailedCannotSendMessage(P);FailedCannotSendMessage(C);FailedMaxUDPRetrans(P);FailedMaxUDPRetrans(C);FailedTcpConnect(P);FailedTcpConnect(C);FailedTcpClosed(P);FailedTcpClosed(C);FailedUnexpectedMessage(P);FailedUnexpectedMessage(C);FailedCallRejected(P);FailedCallRejected(C);FailedCmdNotSent(P);FailedCmdNotSent(C);FailedRegexpDoesntMatch(P);FailedRegexpDoesntMatch(C);FailedRegexpShouldntMatch(P);FailedRegexpShouldntMatch(C);FailedRegexpHdrNotFound(P);FailedRegexpHdrNotFound(C);FailedOutboundCongestion(P);FailedOutboundCongestion(C);FailedTimeoutOnRecv(P);FailedTimeoutOnRecv(C);FailedTimeoutOnSend(P);FailedTimeoutOnSend(C);FailedTestDoesntMatch(P);FailedTestDoesntMatch(C);FailedTestShouldntMatch(P);FailedTestShouldntMatch(C);FailedStrcmpDoesntMatch(P);FailedStrcmpDoesntMatch(C);FailedStrcmpShouldntMatch(P);FailedStrcmpShouldntMatch(C);OutOfCallMsgs(P);OutOfCallMsgs(C);DeadCallMsgs(P);DeadCallMsgs(C);Retransmissions(P);Retransmissions(C);AutoAnswered(P);AutoAnswered(C);Warnings(P);Warnings(C);FatalErrors(P);FatalErrors(C);WatchdogMajor(P);WatchdogMajor(C);WatchdogMinor(P);WatchdogMinor(C);ResponseTime1(P);ResponseTime1(C);ResponseTime1StDev(P);ResponseTime1StDev(C);CallLength(P);CallLength(C);CallLengthStDev(P);CallLengthStDev(C);
2026-08-19	11:27:06.980617	1787119026.980617;2026-08-19	11:27:06.980617	1787119026.980617;2026-08-19	11:27:06.985870	1787119026.985870;00:00:00;00:00:00;3.000;0.000;0.000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2026-08-19	11:27:06.980617	1787119026.980617;2026-08-19	11:27:06.985954	1787119026.985954;2026-08-19	11:28:06.986703	1787119086.986703;00:01:00;00:01:00;3.000;1.433;1.433;0;0;86;86;86;75;11;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;337;337;0;0;65;65;0;0;0;0;0;0;00:00:00:013000;00:00:00:013000;00:00:00:015000;00:00:00:015000;00:00:30:313000;00:00:30:313000;00:00:00:234000;00:00:00:234000;
2026-08-19	11:27:06.980617	1787119026.980617;2026-08-19	11:28:06.987813	1787119086.987813;2026-08-19	11:28:57.948183	1787119137.948183;00:00:50;00:01:50;3.000;0.962;1.217;0;0;49;135;135;0;0;11;124;124;0;0;0;0;0;0;0;0;124;124;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;74;74;329;666;0;0;208;273;0;0;0;0;0;0;00:00:00:000000;00:00:00:013000;00:00:00:000000;00:00:00:015000;00:00:48:483000;00:00:47:003000;00:00:15:274000;00:00:15:461000;
2026-08-19	11:27:06.980617	1787119026.980617;2026-08-19	11:28:57.949153	1787119137.949153;2026-08-19	11:28:57.950439	1787119137.950439;00:00:00;00:01:50;3.000;0.000;1.217;0;0;0;135;135;0;0;11;0;124;0;0;0;0;0;0;0;0;0;124;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;74;0;666;0;0;0;273;0;0;0;0;0;0;00:00:00:000000;00:00:00:013000;00:00:00:000000;00:00:00:015000;00:00:00:000000;00:00:47:003000;00:00:00:000000;00:00:15:461000;
