StartTime;LastResetTime;CurrentTime;ElapsedTime(P);ElapsedTime(C);TargetRate;CallRate(P);CallRate(C);IncomingCall(P);IncomingCall(C);OutgoingCall(P);OutgoingCall(C);TotalCallCreated;CurrentCall;SuccessfulCall(P);SuccessfulCall(C);FailedCall(P);FailedCall(C);FailedCannotSendMessage(P);FailedCannotSendMessage(C);FailedMaxUDPRetrans(P);FailedMaxUDPRetrans(C);FailedTcpConnect(P);FailedTcpConnect(C);FailedTcpClosed(P);FailedTcpClosed(C);FailedUnexpectedMessage(P);FailedUnexpectedMessage(C);FailedCallRejected(P);FailedCallRejected(C);FailedCmdNotSent(P);FailedCmdNotSent(C);FailedRegexpDoesntMatch(P);FailedRegexpDoesntMatch(C);FailedRegexpShouldntMatch(P);FailedRegexpShouldntMatch(C);FailedRegexpHdrNotFound(P);FailedRegexpHdrNotFound(C);FailedOutboundCongestion(P);FailedOutboundCongestion(C);FailedTimeoutOnRecv(P);FailedTimeoutOnRecv(C);FailedTimeoutOnSend(P);FailedTimeoutOnSend(C);FailedTestDoesntMatch(P);FailedTestDoesntMatch(C);FailedTestShouldntMatch(P);FailedTestShouldntMatch(C);FailedStrcmpDoesntMatch(P);FailedStrcmpDoesntMatch(C);FailedStrcmpShouldntMatch(P);FailedStrcmpShouldntMatch(C);OutOfCallMsgs(P);OutOfCallMsgs(C);DeadCallMsgs(P);DeadCallMsgs(C);Retransmissions(P);Retransmissions(C);AutoAnswered(P);AutoAnswered(C);Warnings(P);Warnings(C);FatalErrors(P);FatalErrors(C);WatchdogMajor(P);WatchdogMajor(C);WatchdogMinor(P);WatchdogMinor(C);ResponseTime1(P);ResponseTime1(C);ResponseTime1StDev(P);ResponseTime1StDev(C);CallLength(P);CallLength(C);CallLengthStDev(P);CallLengthStDev(C);
2026-08-19	11:39:16.825843	1787119756.825843;2026-08-19	11:39:16.825843	1787119756.825843;2026-08-19	11:39:16.832784	1787119756.832784;00:00:00;00:00:00;3.000;0.000;0.000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2026-08-19	11:39:16.825843	1787119756.825843;2026-08-19	11:39:16.832871	1787119756.832871;2026-08-19	11:40:16.834439	1787119816.834439;00:01:00;00:01:00;3.000;2.250;2.250;0;0;135;135;135;60;75;75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;5;0;0;0;0;0;0;00:00:00:012000;00:00:00:012000;00:00:00:006000;00:00:00:006000;00:00:30:297000;00:00:30:297000;00:00:00:195000;00:00:00:195000;
2026-08-19	11:39:16.825843	1787119756.825843;2026-08-19	11:40:16.835133	1787119816.835133;2026-08-19	11:40:37.956736	1787119837.956736;00:00:21;00:01:21;3.000;0.000;1.664;0;0;0;135;135;0;60;135;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;16;0;0;0;0;0;0;00:00:00:000000;00:00:00:012000;00:00:00:000000;00:00:00:006000;00:00:30:430000;00:00:30:356000;00:00:00:314000;00:00:00:262000;
2026-08-19	11:39:16.825843	1787119756.825843;2026-08-19	11:40:37.956987	1787119837.956987;2026-08-19	11:40:37.957774	1787119837.957774;00:00:00;00:01:21;3.000;0.000;1.664;0;0;0;135;135;0;0;135;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;0;0;00:00:00:000000;00:00:00:012000;00:00:00:000000;00:00:00:006000;00:00:00:000000;00:00:30:356000;00:00:00:000000;00:00:00:262000;
