StartTime;LastResetTime;CurrentTime;ElapsedTime(P);ElapsedTime(C);TargetRate;CallRate(P);CallRate(C);IncomingCall(P);IncomingCall(C);OutgoingCall(P);OutgoingCall(C);TotalCallCreated;CurrentCall;SuccessfulCall(P);SuccessfulCall(C);FailedCall(P);FailedCall(C);FailedCannotSendMessage(P);FailedCannotSendMessage(C);FailedMaxUDPRetrans(P);FailedMaxUDPRetrans(C);FailedTcpConnect(P);FailedTcpConnect(C);FailedTcpClosed(P);FailedTcpClosed(C);FailedUnexpectedMessage(P);FailedUnexpectedMessage(C);FailedCallRejected(P);FailedCallRejected(C);FailedCmdNotSent(P);FailedCmdNotSent(C);FailedRegexpDoesntMatch(P);FailedRegexpDoesntMatch(C);FailedRegexpShouldntMatch(P);FailedRegexpShouldntMatch(C);FailedRegexpHdrNotFound(P);FailedRegexpHdrNotFound(C);FailedOutboundCongestion(P);FailedOutboundCongestion(C);FailedTimeoutOnRecv(P);FailedTimeoutOnRecv(C);FailedTimeoutOnSend(P);FailedTimeoutOnSend(C);FailedTestDoesntMatch(P);FailedTestDoesntMatch(C);FailedTestShouldntMatch(P);FailedTestShouldntMatch(C);FailedStrcmpDoesntMatch(P);FailedStrcmpDoesntMatch(C);FailedStrcmpShouldntMatch(P);FailedStrcmpShouldntMatch(C);OutOfCallMsgs(P);OutOfCallMsgs(C);DeadCallMsgs(P);DeadCallMsgs(C);Retransmissions(P);Retransmissions(C);AutoAnswered(P);AutoAnswered(C);Warnings(P);Warnings(C);FatalErrors(P);FatalErrors(C);WatchdogMajor(P);WatchdogMajor(C);WatchdogMinor(P);WatchdogMinor(C);ResponseTime1(P);ResponseTime1(C);ResponseTime1StDev(P);ResponseTime1StDev(C);CallLength(P);CallLength(C);CallLengthStDev(P);CallLengthStDev(C);
2026-08-19	00:36:19.452853	1787079979.452853;2026-08-19	00:36:19.452853	1787079979.452853;2026-08-19	00:36:19.483183	1787079979.483183;00:00:00;00:00:00;3.000;0.000;0.000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2026-08-19	00:36:19.452853	1787079979.452853;2026-08-19	00:36:19.483283	1787079979.483283;2026-08-19	00:37:19.485499	1787080039.485499;00:01:00;00:01:00;3.000;2.333;2.332;0;0;140;140;140;100;40;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;159;159;0;0;48;48;0;0;0;0;0;0;00:00:00:012000;00:00:00:012000;00:00:00:008000;00:00:00:008000;00:00:30:272000;00:00:30:272000;00:00:00:124000;00:00:00:124000;
2026-08-19	00:36:19.452853	1787079979.452853;2026-08-19	00:37:19.486556	1787080039.486556;2026-08-19	00:38:16.457130	1787080096.457130;00:00:56;00:01:57;3.000;0.702;1.538;0;0;40;180;180;0;0;40;140;140;0;0;0;0;0;0;0;0;140;140;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;91;91;660;819;0;0;275;323;0;0;0;0;0;0;00:00:00:000000;00:00:00:012000;00:00:00:000000;00:00:00:008000;00:00:50:129000;00:00:45:716000;00:00:14:842000;00:00:15:479000;
2026-08-19	00:36:19.452853	1787079979.452853;2026-08-19	00:38:16.457266	1787080096.457266;2026-08-19	00:38:16.458579	1787080096.458579;00:00:00;00:01:57;3.000;0.000;1.538;0;0;0;180;180;0;0;40;0;140;0;0;0;0;0;0;0;0;0;140;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;91;0;819;0;0;0;323;0;0;0;0;0;0;00:00:00:000000;00:00:00:012000;00:00:00:000000;00:00:00:008000;00:00:00:000000;00:00:45:716000;00:00:00:000000;00:00:15:479000;
