StartTime;LastResetTime;CurrentTime;ElapsedTime(P);ElapsedTime(C);TargetRate;CallRate(P);CallRate(C);IncomingCall(P);IncomingCall(C);OutgoingCall(P);OutgoingCall(C);TotalCallCreated;CurrentCall;SuccessfulCall(P);SuccessfulCall(C);FailedCall(P);FailedCall(C);FailedCannotSendMessage(P);FailedCannotSendMessage(C);FailedMaxUDPRetrans(P);FailedMaxUDPRetrans(C);FailedTcpConnect(P);FailedTcpConnect(C);FailedTcpClosed(P);FailedTcpClosed(C);FailedUnexpectedMessage(P);FailedUnexpectedMessage(C);FailedCallRejected(P);FailedCallRejected(C);FailedCmdNotSent(P);FailedCmdNotSent(C);FailedRegexpDoesntMatch(P);FailedRegexpDoesntMatch(C);FailedRegexpShouldntMatch(P);FailedRegexpShouldntMatch(C);FailedRegexpHdrNotFound(P);FailedRegexpHdrNotFound(C);FailedOutboundCongestion(P);FailedOutboundCongestion(C);FailedTimeoutOnRecv(P);FailedTimeoutOnRecv(C);FailedTimeoutOnSend(P);FailedTimeoutOnSend(C);FailedTestDoesntMatch(P);FailedTestDoesntMatch(C);FailedTestShouldntMatch(P);FailedTestShouldntMatch(C);FailedStrcmpDoesntMatch(P);FailedStrcmpDoesntMatch(C);FailedStrcmpShouldntMatch(P);FailedStrcmpShouldntMatch(C);OutOfCallMsgs(P);OutOfCallMsgs(C);DeadCallMsgs(P);DeadCallMsgs(C);Retransmissions(P);Retransmissions(C);AutoAnswered(P);AutoAnswered(C);Warnings(P);Warnings(C);FatalErrors(P);FatalErrors(C);WatchdogMajor(P);WatchdogMajor(C);WatchdogMinor(P);WatchdogMinor(C);ResponseTime1(P);ResponseTime1(C);ResponseTime1StDev(P);ResponseTime1StDev(C);CallLength(P);CallLength(C);CallLengthStDev(P);CallLengthStDev(C);
2026-08-18	19:40:03.817347	1787062203.817347;2026-08-18	19:40:03.817347	1787062203.817347;2026-08-18	19:40:03.821719	1787062203.821719;00:00:00;00:00:00;2.000;0.000;0.000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2026-08-18	19:40:03.817347	1787062203.817347;2026-08-18	19:40:03.821815	1787062203.821815;2026-08-18	19:41:03.823454	1787062263.823454;00:01:00;00:01:00;2.000;0.750;0.750;0;0;45;45;45;20;25;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;10;0;0;0;0;0;0;10;10;0;0;0;0;0;0;00:00:00:006000;00:00:00:006000;00:00:00:001000;00:00:00:001000;00:00:30:241000;00:00:30:241000;00:00:00:015000;00:00:00:015000;
2026-08-18	19:40:03.817347	1787062203.817347;2026-08-18	19:41:03.823608	1787062263.823608;2026-08-18	19:41:14.547394	1787062274.547394;00:00:10;00:01:10;2.000;0.000;0.636;0;0;0;45;45;0;20;45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;10;0;0;0;0;0;0;00:00:00:000000;00:00:00:006000;00:00:00:000000;00:00:00:001000;00:00:30:232000;00:00:30:237000;00:00:00:011000;00:00:00:014000;
2026-08-18	19:40:03.817347	1787062203.817347;2026-08-18	19:41:14.547462	1787062274.547462;2026-08-18	19:41:14.548390	1787062274.548390;00:00:00;00:01:10;2.000;0.000;0.636;0;0;0;45;45;0;0;45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;10;0;0;0;0;0;0;00:00:00:000000;00:00:00:006000;00:00:00:000000;00:00:00:001000;00:00:00:000000;00:00:30:237000;00:00:00:000000;00:00:00:014000;
