StartTime;LastResetTime;CurrentTime;ElapsedTime(P);ElapsedTime(C);TargetRate;CallRate(P);CallRate(C);IncomingCall(P);IncomingCall(C);OutgoingCall(P);OutgoingCall(C);TotalCallCreated;CurrentCall;SuccessfulCall(P);SuccessfulCall(C);FailedCall(P);FailedCall(C);FailedCannotSendMessage(P);FailedCannotSendMessage(C);FailedMaxUDPRetrans(P);FailedMaxUDPRetrans(C);FailedTcpConnect(P);FailedTcpConnect(C);FailedTcpClosed(P);FailedTcpClosed(C);FailedUnexpectedMessage(P);FailedUnexpectedMessage(C);FailedCallRejected(P);FailedCallRejected(C);FailedCmdNotSent(P);FailedCmdNotSent(C);FailedRegexpDoesntMatch(P);FailedRegexpDoesntMatch(C);FailedRegexpShouldntMatch(P);FailedRegexpShouldntMatch(C);FailedRegexpHdrNotFound(P);FailedRegexpHdrNotFound(C);FailedOutboundCongestion(P);FailedOutboundCongestion(C);FailedTimeoutOnRecv(P);FailedTimeoutOnRecv(C);FailedTimeoutOnSend(P);FailedTimeoutOnSend(C);FailedTestDoesntMatch(P);FailedTestDoesntMatch(C);FailedTestShouldntMatch(P);FailedTestShouldntMatch(C);FailedStrcmpDoesntMatch(P);FailedStrcmpDoesntMatch(C);FailedStrcmpShouldntMatch(P);FailedStrcmpShouldntMatch(C);OutOfCallMsgs(P);OutOfCallMsgs(C);DeadCallMsgs(P);DeadCallMsgs(C);Retransmissions(P);Retransmissions(C);AutoAnswered(P);AutoAnswered(C);Warnings(P);Warnings(C);FatalErrors(P);FatalErrors(C);WatchdogMajor(P);WatchdogMajor(C);WatchdogMinor(P);WatchdogMinor(C);ResponseTime1(P);ResponseTime1(C);ResponseTime1StDev(P);ResponseTime1StDev(C);CallLength(P);CallLength(C);CallLengthStDev(P);CallLengthStDev(C);
2026-08-19	17:40:40.729611	1787141440.729611;2026-08-19	17:40:40.729611	1787141440.729611;2026-08-19	17:40:40.748994	1787141440.748994;00:00:00;00:00:00;2.000;0.000;0.000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2026-08-19	17:40:40.729611	1787141440.729611;2026-08-19	17:40:40.749102	1787141440.749102;2026-08-19	17:41:40.750390	1787141500.750390;00:01:00;00:01:00;2.000;0.200;0.200;0;0;12;12;12;10;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:007000;00:00:00:007000;00:00:00:002000;00:00:00:002000;00:00:55:098000;00:00:55:098000;00:00:00:026000;00:00:00:026000;
2026-08-19	17:40:40.729611	1787141440.729611;2026-08-19	17:41:40.750811	1787141500.750811;2026-08-19	17:42:40.751688	1787141560.751688;00:01:00;00:02:00;2.000;0.100;0.150;0;0;6;18;18;4;12;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;9;0;0;0;0;0;0;00:00:00:006000;00:00:00:007000;00:00:00:001000;00:00:00:001000;00:00:58:408000;00:00:57:936000;00:00:02:383000;00:00:02:500000;
2026-08-19	17:40:40.729611	1787141440.729611;2026-08-19	17:42:40.752698	1787141560.752698;2026-08-19	17:42:42.255696	1787141562.255696;00:00:01;00:02:01;2.000;0.000;0.148;0;0;0;18;18;0;4;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;12;0;0;0;0;0;0;00:00:00:000000;00:00:00:007000;00:00:00:000000;00:00:00:001000;00:01:00:018000;00:00:58:398000;00:00:00:000000;00:00:02:360000;
2026-08-19	17:40:40.729611	1787141440.729611;2026-08-19	17:42:42.255803	1787141562.255803;2026-08-19	17:42:42.256914	1787141562.256914;00:00:00;00:02:01;2.000;0.000;0.148;0;0;0;18;18;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;00:00:00:000000;00:00:00:007000;00:00:00:000000;00:00:00:001000;00:00:00:000000;00:00:58:398000;00:00:00:000000;00:00:02:360000;
