timestamp,process,pid,cpu_pct,rss_mb
1787080932,conversation,1318,0.0,48.4
1787080932,conversation,13782,0.0,50.0
1787080932,freeswitch,23175,0.7,12.7
1787080932,kamailio,96972,0.0,11.6
1787080932,kamailio,96974,0.0,3.5
1787080932,kamailio,96975,0.0,1.1
1787080932,kamailio,96976,0.0,0.7
1787080932,kamailio,96977,0.0,0.3
1787080932,kamailio,96978,0.0,0.3
1787080932,kamailio,96979,0.0,0.8
1787080932,kamailio,96980,0.0,0.4
1787080932,gateway,97174,6.4,15.9
1787080934,conversation,1318,0.0,48.4
1787080934,conversation,13782,0.0,50.0
1787080934,freeswitch,23175,0.0,12.7
1787080934,kamailio,96972,0.0,12.9
1787080934,kamailio,96974,0.0,3.6
1787080934,kamailio,96975,0.0,1.2
1787080934,kamailio,96976,0.0,0.7
1787080934,kamailio,96977,0.0,0.3
1787080934,kamailio,96978,0.0,0.3
1787080934,kamailio,96979,0.0,0.8
1787080934,kamailio,96980,0.0,0.4
1787080934,gateway,97174,4.5,15.9
1787080936,conversation,1318,0.0,48.4
1787080936,conversation,13782,0.0,50.0
1787080936,freeswitch,23175,0.9,17.0
1787080936,kamailio,96972,0.1,13.0
1787080936,kamailio,96974,0.0,3.6
1787080936,kamailio,96975,0.0,1.3
1787080936,kamailio,96976,0.0,0.7
1787080936,kamailio,96977,0.0,0.3
1787080936,kamailio,96978,0.0,0.3
1787080936,kamailio,96979,0.0,0.8
1787080936,kamailio,96980,0.0,0.4
1787080936,gateway,97174,6.4,15.9
1787080938,conversation,1318,0.0,48.1
1787080938,conversation,13782,0.0,49.0
1787080938,freeswitch,23175,0.7,17.0
1787080938,kamailio,96972,0.1,13.2
1787080938,kamailio,96974,0.0,3.6
1787080938,kamailio,96975,0.0,1.4
1787080938,kamailio,96976,0.0,0.7
1787080938,kamailio,96977,0.0,0.3
1787080938,kamailio,96978,0.0,0.3
1787080938,kamailio,96979,0.0,0.8
1787080938,kamailio,96980,0.0,0.4
1787080938,gateway,97174,3.6,15.9
1787080940,conversation,1318,0.0,48.0
1787080940,conversation,13782,0.0,49.0
1787080940,freeswitch,23175,0.0,8.6
1787080940,kamailio,96972,0.4,13.4
1787080940,kamailio,96974,0.0,3.6
1787080940,kamailio,96975,0.1,1.5
1787080940,kamailio,96976,0.0,0.7
1787080940,kamailio,96977,0.0,0.3
1787080940,kamailio,96978,0.0,0.3
1787080940,kamailio,96979,0.0,0.8
1787080940,kamailio,96980,0.0,0.4
1787080940,gateway,97174,6.3,15.9
1787080942,conversation,1318,0.0,48.1
1787080942,conversation,13782,0.0,49.0
1787080942,freeswitch,23175,0.0,8.7
1787080942,kamailio,96972,0.2,13.6
1787080942,kamailio,96974,0.0,3.6
1787080942,kamailio,96975,0.1,1.6
1787080942,kamailio,96976,0.0,0.7
1787080942,kamailio,96977,0.0,0.3
1787080942,kamailio,96978,0.0,0.3
1787080942,kamailio,96979,0.0,0.8
1787080942,kamailio,96980,0.0,0.4
1787080942,gateway,97174,7.2,15.9
1787080944,conversation,1318,0.0,48.1
1787080944,conversation,13782,0.0,49.0
1787080944,freeswitch,23175,1.4,27.9
1787080944,kamailio,96972,0.3,13.8
1787080944,kamailio,96974,0.0,3.6
1787080944,kamailio,96975,0.1,1.7
1787080944,kamailio,96976,0.0,0.7
1787080944,kamailio,96977,0.0,0.3
1787080944,kamailio,96978,0.0,0.3
1787080944,kamailio,96979,0.0,0.8
1787080944,kamailio,96980,0.0,0.4
1787080944,gateway,97174,6.4,15.9
1787080947,conversation,1318,0.0,48.1
1787080947,conversation,13782,0.0,49.0
1787080947,freeswitch,23175,2.5,51.8
1787080947,kamailio,96972,1.2,14.6
1787080947,kamailio,96974,0.0,3.6
1787080947,kamailio,96975,0.1,1.7
1787080947,kamailio,96976,0.0,0.7
1787080947,kamailio,96977,0.0,0.3
1787080947,kamailio,96978,0.0,0.3
1787080947,kamailio,96979,0.0,0.8
1787080947,kamailio,96980,0.0,0.4
1787080947,gateway,97174,6.8,15.9
1787080949,conversation,1318,0.0,48.1
1787080949,conversation,13782,0.0,49.0
1787080949,freeswitch,23175,0.8,52.0
1787080949,kamailio,96972,0.8,14.8
1787080949,kamailio,96974,0.0,3.6
1787080949,kamailio,96975,0.0,1.7
1787080949,kamailio,96976,0.0,0.7
1787080949,kamailio,96977,0.0,0.3
1787080949,kamailio,96978,0.0,0.3
1787080949,kamailio,96979,0.0,0.8
1787080949,kamailio,96980,0.0,0.4
1787080949,gateway,97174,6.8,15.9
1787080951,conversation,1318,187.9,945.1
1787080951,conversation,13782,228.7,979.8
1787080951,freeswitch,23175,20.4,68.6
1787080951,kamailio,96972,0.4,15.0
1787080951,kamailio,96974,0.0,3.6
1787080951,kamailio,96975,0.0,2.3
1787080951,kamailio,96976,0.0,0.7
1787080951,kamailio,96977,0.0,0.3
1787080951,kamailio,96978,0.0,0.3
1787080951,kamailio,96979,0.0,0.8
1787080951,kamailio,96980,0.0,0.4
1787080951,gateway,97174,7.4,31.8
1787080953,conversation,1318,52.6,1039.0
1787080953,conversation,13782,230.2,1019.0
1787080953,freeswitch,23175,7.7,71.6
1787080953,kamailio,96972,0.1,15.1
1787080953,kamailio,96974,0.0,3.6
1787080953,kamailio,96975,0.0,2.7
1787080953,kamailio,96976,0.0,0.7
1787080953,kamailio,96977,0.0,0.3
1787080953,kamailio,96978,0.0,0.3
1787080953,kamailio,96979,0.0,0.8
1787080953,kamailio,96980,0.0,0.4
1787080953,gateway,97174,11.8,42.3
1787080955,conversation,1318,244.4,1043.2
1787080955,conversation,13782,128.8,1024.8
1787080955,freeswitch,23175,12.0,74.8
1787080955,kamailio,96972,0.1,15.2
1787080955,kamailio,96974,0.0,3.6
1787080955,kamailio,96975,0.0,2.9
1787080955,kamailio,96976,0.0,0.7
1787080955,kamailio,96977,0.0,0.3
1787080955,kamailio,96978,0.0,0.3
1787080955,kamailio,96979,0.0,0.8
1787080955,kamailio,96980,0.0,0.4
1787080955,gateway,97174,21.4,56.4
1787080957,conversation,1318,230.5,1044.5
1787080957,conversation,13782,13.0,1025.3
1787080957,freeswitch,23175,15.1,78.0
1787080957,kamailio,96972,0.2,15.3
1787080957,kamailio,96974,0.0,3.6
1787080957,kamailio,96975,0.0,3.0
1787080957,kamailio,96976,0.0,0.7
1787080957,kamailio,96977,0.0,0.3
1787080957,kamailio,96978,0.0,0.3
1787080957,kamailio,96979,0.0,0.8
1787080957,kamailio,96980,0.0,0.4
1787080957,gateway,97174,26.0,67.8
1787080959,conversation,1318,215.9,1044.6
1787080959,conversation,13782,192.0,1038.8
1787080959,freeswitch,23175,20.6,81.2
1787080959,kamailio,96972,0.1,15.4
1787080959,kamailio,96974,0.0,3.6
1787080959,kamailio,96975,0.0,3.2
1787080959,kamailio,96976,0.0,0.7
1787080959,kamailio,96977,0.0,0.3
1787080959,kamailio,96978,0.0,0.3
1787080959,kamailio,96979,0.0,0.8
1787080959,kamailio,96980,0.0,0.4
1787080959,gateway,97174,36.5,73.4
1787080961,conversation,1318,222.0,1055.0
1787080961,conversation,13782,187.5,1041.1
1787080961,freeswitch,23175,19.6,84.8
1787080961,kamailio,96972,0.1,15.5
1787080961,kamailio,96974,0.0,3.6
