StartTime;LastResetTime;CurrentTime;ElapsedTime(P);ElapsedTime(C);TargetRate;CallRate(P);CallRate(C);IncomingCall(P);IncomingCall(C);OutgoingCall(P);OutgoingCall(C);TotalCallCreated;CurrentCall;SuccessfulCall(P);SuccessfulCall(C);FailedCall(P);FailedCall(C);FailedCannotSendMessage(P);FailedCannotSendMessage(C);FailedMaxUDPRetrans(P);FailedMaxUDPRetrans(C);FailedTcpConnect(P);FailedTcpConnect(C);FailedTcpClosed(P);FailedTcpClosed(C);FailedUnexpectedMessage(P);FailedUnexpectedMessage(C);FailedCallRejected(P);FailedCallRejected(C);FailedCmdNotSent(P);FailedCmdNotSent(C);FailedRegexpDoesntMatch(P);FailedRegexpDoesntMatch(C);FailedRegexpShouldntMatch(P);FailedRegexpShouldntMatch(C);FailedRegexpHdrNotFound(P);FailedRegexpHdrNotFound(C);FailedOutboundCongestion(P);FailedOutboundCongestion(C);FailedTimeoutOnRecv(P);FailedTimeoutOnRecv(C);FailedTimeoutOnSend(P);FailedTimeoutOnSend(C);FailedTestDoesntMatch(P);FailedTestDoesntMatch(C);FailedTestShouldntMatch(P);FailedTestShouldntMatch(C);FailedStrcmpDoesntMatch(P);FailedStrcmpDoesntMatch(C);FailedStrcmpShouldntMatch(P);FailedStrcmpShouldntMatch(C);OutOfCallMsgs(P);OutOfCallMsgs(C);DeadCallMsgs(P);DeadCallMsgs(C);Retransmissions(P);Retransmissions(C);AutoAnswered(P);AutoAnswered(C);Warnings(P);Warnings(C);FatalErrors(P);FatalErrors(C);WatchdogMajor(P);WatchdogMajor(C);WatchdogMinor(P);WatchdogMinor(C);ResponseTime1(P);ResponseTime1(C);ResponseTime1StDev(P);ResponseTime1StDev(C);CallLength(P);CallLength(C);CallLengthStDev(P);CallLengthStDev(C);
2026-08-19	00:52:12.672900	1787080932.672900;2026-08-19	00:52:12.672900	1787080932.672900;2026-08-19	00:52:12.678641	1787080932.678641;00:00:00;00:00:00;3.000;0.000;0.000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2026-08-19	00:52:12.672900	1787080932.672900;2026-08-19	00:52:12.678735	1787080932.678735;2026-08-19	00:53:12.680800	1787080992.680800;00:01:00;00:01:00;3.000;2.250;2.250;0;0;135;135;135;46;38;38;51;51;0;0;0;0;0;0;0;0;51;51;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;57;57;0;0;0;0;0;0;00:00:00:008000;00:00:00:008000;00:00:00:002000;00:00:00:002000;00:00:15:947000;00:00:15:947000;00:00:13:019000;00:00:13:019000;
2026-08-19	00:52:12.672900	1787080932.672900;2026-08-19	00:53:12.681677	1787080992.681677;2026-08-19	01:09:23.400636	1787081963.400636;00:16:10;00:17:10;3.000;0.000;0.131;0;0;0;135;135;0;46;84;0;51;0;0;0;0;0;0;0;0;0;51;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;58;0;0;0;0;0;0;00:00:00:000000;00:00:00:008000;00:00:00:000000;00:00:00:002000;00:00:29:200000;00:00:20:463000;00:00:02:218000;00:00:12:357000;
2026-08-19	00:52:12.672900	1787080932.672900;2026-08-19	01:09:23.400799	1787081963.400799;2026-08-19	01:09:23.401114	1787081963.401114;00:00:00;00:17:10;3.000;0.000;0.131;0;0;0;135;135;0;0;84;0;51;0;0;0;0;0;0;0;0;0;51;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;58;0;0;0;0;0;0;00:00:00:000000;00:00:00:008000;00:00:00:000000;00:00:00:002000;00:00:00:000000;00:00:20:463000;00:00:00:000000;00:00:12:357000;
